Textbox13
"Valores em R$ 1,00"

DATA_COMP,SG_EFPC,LEGISLACAO_ENT,NU_CNPB,Textbox17,SITUACAO,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010103990000,OUTROS RECURSOS ANTECIPADOS,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010199000000,OUTRAS EXIGIBILIDADES,"20.949,77",CR,"21.535,53","22.347,16","21.761,40",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010300000000,INVESTIMENTOS,"28.683,44",CR,"2.086.879,57","2.085.241,15","27.045,02",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010301000000,TÍTULOS PÚBLICOS,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010304000000,FUNDOS DE INVESTIMENTO,"0,00",CR,"1.990.000,00","1.990.000,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010308000000,OPERAÇÕES COM PARTICIPANTES,"4.196,65",CR,"71.946,47","68.011,64","261,82",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010310000000,TAXA DE ADMINISTRAÇÃO A REPASSAR,"1.983,14",CR,"1.983,14","2.050,40","2.050,40",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010310020000,TAXA DE ADMINISTRAÇÃO DOS EMPRÉSTIMOS E FINANCIAMENTOS A REPASSAR,"1.983,14",CR,"1.983,14","2.050,40","2.050,40",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2010399000000,OUTRAS EXIGIBILIDADES,"22.503,65",CR,"22.949,96","25.179,11","24.732,80",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2020000000000,EXIGÍVEL CONTINGENCIAL,"441.805,19",CR,"1.514,38","4.599,99","444.890,80",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2020100000000,GESTÃO PREVIDENCIAL,"441.805,19",CR,"1.514,38","4.599,99","444.890,80",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2020101000000,PROVISÃO,"441.805,19",CR,"1.514,38","4.599,99","444.890,80",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2030000000000,PATRIMÔNIO SOCIAL,"89.500.309,75",CR,"1.496.335,01","2.375.201,14","90.379.175,88",CR
