Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,2991,ACEPREV,2010310020000,TAXA DE ADMINISTRAÇÃO DOS EMPRÉSTIMOS E FINANCIAMENTOS A REPASSAR,"17.522,29",CR,"17.522,29","17.610,11","17.610,11",CR
02/2026,2991,ACEPREV,2010399000000,OUTRAS EXIGIBILIDADES,"389.198,30",CR,"398.869,25","342.563,12","332.892,17",CR
02/2026,2991,ACEPREV,2020000000000,EXIGÍVEL CONTINGENCIAL,"7.439.746,65",CR,"0,00","82.393,31","7.522.139,96",CR
02/2026,2991,ACEPREV,2020100000000,GESTÃO PREVIDENCIAL,"4.883.915,83",CR,"0,00","82.393,31","4.966.309,14",CR
02/2026,2991,ACEPREV,2020101000000,PROVISÃO,"4.883.915,83",CR,"0,00","82.393,31","4.966.309,14",CR
02/2026,2991,ACEPREV,2020200000000,GESTÃO ADMINISTRATIVA,"2.555.830,82",CR,"0,00","0,00","2.555.830,82",CR
02/2026,2991,ACEPREV,2020201000000,PROVISÃO,"2.555.830,82",CR,"0,00","0,00","2.555.830,82",CR
02/2026,2991,ACEPREV,2030000000000,PATRIMÔNIO SOCIAL,"1.868.473.248,38",CR,"12.929.598,33","23.665.977,25","1.879.209.627,30",CR
02/2026,2991,ACEPREV,2030100000000,PATRIMÔNIO DE COBERTURA DO PLANO ,"1.760.439.682,53",CR,"10.610.591,21","21.915.231,11","1.771.744.322,43",CR
02/2026,2991,ACEPREV,2030101000000,PROVISÕES MATEMÁTICAS,"1.648.976.293,14",CR,"10.610.591,21","21.065.798,66","1.659.431.500,59",CR
02/2026,2991,ACEPREV,2030101010000,BENEFÍCIOS CONCEDIDOS,"1.055.951.129,62",CR,"8.172.534,55","12.191.066,28","1.059.969.661,35",CR
02/2026,2991,ACEPREV,2030101010100,CONTRIBUIÇÃO DEFINIDA,"469.887.208,95",CR,"4.921.713,50","7.769.390,46","472.734.885,91",CR
