DT_COMPETENCIA;NU_MATRICULA_EFPC;SG_EFPC;IN_ESTAT_PLANO_EFPC;ID_PLANO;CNPB;ID_BENEFICIO;NU_BENEFICIO;NM_BENEFICIO;TE_NIVEL;QT_ANTERIOR;QT_ENTRADAS;QT_SAIDAS;QT_ATUAL;DT_EXTRACAO
202205;4861;BOSCHPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;237;CERES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;31;ALCOA PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1198;CASFAM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4529;CASANPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;922;SAO FRANCISCO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1434;EQTPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;878;RECKITTPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1482;MULTIBRA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2333;PREVSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3861;BUNGEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1554;GEIPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3486;FGV-PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;607;INERGUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1763;DANAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;744;PREVIBOSCH;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4577;ANABBPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2172;PREVICOKE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1242;CITIPREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;731;PREVIBAYER;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1451;FIPECQ;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3023;ITAUSAINDL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2292;FUNSSEST;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4217;MONGERAL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4666;RAIZPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4426;SICOOB PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;611;ITAU UNIBANCO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
